player_id,first_name,second_name,player_name,club_name,position_name,extracted_at,total_points,event_points,now_cost
71,Lewis,Cook,Lewis Cook,Bournemouth,MID,2026-08-27 15:23:14.301707+00:00,3,3,5.0
70,Justin,Kluivert,Justin Kluivert,Bournemouth,MID,2026-08-27 15:23:14.301707+00:00,3,3,6.0
562,Daizen,Maeda,Daizen Maeda,Ipswich Town,MID,2026-08-27 15:23:14.301707+00:00,2,2,5.5
140,Robert,Lynch Sánchez,Robert Sánchez,Chelsea,GKP,2026-08-27 15:23:14.301707+00:00,2,2,5.0
564,Kjell,Scherpen,Kjell Scherpen,Ipswich Town,GKP,2026-08-27 15:23:14.301707+00:00,2,2,4.5
356,Virgil,van Dijk,Virgil Virgil,Liverpool,DEF,2026-08-27 15:23:14.301707+00:00,2,2,6.5
523,Mikey,Moore,Mikey Moore,Spurs,MID,2026-08-27 15:23:14.301707+00:00,2,2,5.0
522,Archie,Gray,Archie Gray,Spurs,MID,2026-08-27 15:23:14.301707+00:00,2,2,5.0
514,Mathys,Tel,Mathys Tel,Spurs,MID,2026-08-27 15:23:14.301707+00:00,2,2,6.0
350,Alisson,Becker,Alisson A.Becker,Liverpool,GKP,2026-08-27 15:23:14.301707+00:00,2,2,5.5
315,Abdul,Fatawu,Abdul Fatawu,Ipswich Town,MID,2026-08-27 15:23:14.301707+00:00,2,2,5.5
57,Đorđe,Petrović,Đorđe Petrović,Bournemouth,GKP,2026-08-27 15:23:14.301707+00:00,2,2,4.5
527,Richarlison,de Andrade,Richarlison Richarlison,Spurs,FWD,2026-08-27 15:23:14.301707+00:00,2,2,6.0
265,Sander,Berge,Sander Berge,Fulham,MID,2026-08-27 15:23:14.301707+00:00,2,2,5.0
241,Dwight,McNeil,Dwight McNeil,Crystal Palace,MID,2026-08-27 15:23:14.301707+00:00,2,2,5.5
552,Brian,Brobbey,Brian Brobbey,Sunderland,FWD,2026-08-27 15:23:14.301707+00:00,2,2,6.0
198,Dean,Henderson,Dean Henderson,Crystal Palace,GKP,2026-08-27 15:23:14.301707+00:00,2,2,5.0
250,Bernd,Leno,Bernd Leno,Fulham,GKP,2026-08-27 15:23:14.301707+00:00,2,2,4.5
195,Ellis,Simms,Ellis Simms,Coventry City,FWD,2026-08-27 15:23:14.301707+00:00,2,2,5.0
194,Brandon,Thomas-Asante,Brandon Thomas-Asante,Coventry City,FWD,2026-08-27 15:23:14.301707+00:00,2,2,5.0
261,Alex,Iwobi,Alex Iwobi,Fulham,MID,2026-08-27 15:23:14.301707+00:00,2,2,5.5
190,Loum,Tchaouna,Loum Tchaouna,Coventry City,MID,2026-08-27 15:23:14.301707+00:00,2,2,5.5
264,Oscar,Bobb,Oscar Bobb,Fulham,MID,2026-08-27 15:23:14.301707+00:00,2,2,5.5
545,Noah,Sadiki,Noah Sadiki,Sunderland,MID,2026-08-27 15:23:14.301707+00:00,2,2,5.0
306,Jacob,Greaves,Jacob Greaves,Ipswich Town,DEF,2026-08-27 15:23:14.301707+00:00,2,2,4.0
184,Matt,Grimes,Matt Grimes,Coventry City,MID,2026-08-27 15:23:14.301707+00:00,2,2,5.0
570,César,Palacios,César Palacios,Fulham,MID,2026-08-27 15:23:14.301707+00:00,2,2,5.5
542,Enzo,Le Fée,Enzo E.Le Fée,Sunderland,MID,2026-08-27 15:23:14.301707+00:00,2,2,6.0
496,Antonín,Kinský,Antonín Kinsky,Spurs,GKP,2026-08-27 15:23:14.301707+00:00,2,2,4.5
289,Matt,Crooks,Matt Crooks,Hull City,MID,2026-08-27 15:23:14.301707+00:00,2,2,4.5
104,Frank,Onyeka,Frank Onyeka,Coventry City,MID,2026-08-27 15:23:14.301707+00:00,2,2,5.0
534,Trai,Hume,Trai Hume,Sunderland,DEF,2026-08-27 15:23:14.301707+00:00,2,2,4.5
259,Issa,Diop,Issa Diop,Ipswich Town,DEF,2026-08-27 15:23:14.301707+00:00,2,2,4.0
305,Leif,Davis,Leif Davis,Ipswich Town,DEF,2026-08-27 15:23:14.301707+00:00,2,2,4.0
366,Florian,Wirtz,Florian Wirtz,Liverpool,MID,2026-08-27 15:23:14.301707+00:00,2,2,7.5
223,Jean-Philippe,Mateta,Jean-Philippe Mateta,Crystal Palace,FWD,2026-08-27 15:23:14.301707+00:00,2,2,6.5
41,Emiliano,Buendía Stati,Emiliano Buendía,Aston Villa,MID,2026-08-27 15:23:14.301707+00:00,2,2,6.0
47,Boubacar,Kamara,Boubacar Kamara,Aston Villa,MID,2026-08-27 15:23:14.301707+00:00,2,2,5.0
491,Igor Jesus,Maciel da Cruz,Igor Jesus Igor Jesus,Nott'm Forest,FWD,2026-08-27 15:23:14.301707+00:00,2,2,6.0
51,George,Hemmings,George George Hemmings,Aston Villa,MID,2026-08-27 15:23:14.301707+00:00,2,2,4.5
393,Abdukodir,Khusanov,Abdukodir Khusanov,Man City,DEF,2026-08-27 15:23:14.301707+00:00,2,2,5.5
397,Antoine,Semenyo,Antoine Semenyo,Man City,MID,2026-08-27 15:23:14.301707+00:00,2,2,8.5
488,Ibrahim,Sangaré,Ibrahim I.Sangaré,Nott'm Forest,MID,2026-08-27 15:23:14.301707+00:00,2,2,5.0
411,Erling,Haaland,Erling Haaland,Man City,FWD,2026-08-27 15:23:14.301707+00:00,2,2,15.5
481,Elliot,Anderson,Elliot Anderson,Man City,MID,2026-08-27 15:23:14.301707+00:00,2,2,6.5
43,Youri,Tielemans,Youri Tielemans,Man Utd,MID,2026-08-27 15:23:14.301707+00:00,2,2,6.0
480,Morgan,Gibbs-White,Morgan Gibbs-White,Nott'm Forest,MID,2026-08-27 15:23:14.301707+00:00,2,2,8.0
426,Bruno,Borges Fernandes,Bruno B.Fernandes,Man Utd,MID,2026-08-27 15:23:14.301707+00:00,2,2,12.0
427,Bryan,Mbeumo,Bryan Mbeumo,Man Utd,MID,2026-08-27 15:23:14.301707+00:00,2,2,8.0
428,Matheus,Santos Carneiro da Cunha,Matheus Cunha,Man Utd,MID,2026-08-27 15:23:14.301707+00:00,2,2,8.0
566,António João,Pereira de Albuquerque Tavares da Silva,António João Silva,Bournemouth,DEF,2026-08-27 15:23:14.301707+00:00,2,2,5.0
453,Harvey,Barnes,Harvey Barnes,Newcastle,MID,2026-08-27 15:23:14.301707+00:00,2,2,6.0
69,Alex,Scott,Alex Scott,Bournemouth,MID,2026-08-27 15:23:14.301707+00:00,2,2,6.0
471,Nikola,Milenković,Nikola Milenković,Nott'm Forest,DEF,2026-08-27 15:23:14.301707+00:00,2,2,5.5
67,Rayan Vitor,Simplício Rocha,Rayan Vitor Rayan,Bournemouth,MID,2026-08-27 15:23:14.301707+00:00,2,2,6.5
469,Neco,Williams,Neco N.Williams,Nott'm Forest,DEF,2026-08-27 15:23:14.301707+00:00,2,2,5.0
467,Matz,Sels,Matz Sels,Nott'm Forest,GKP,2026-08-27 15:23:14.301707+00:00,2,2,5.0
390,Rúben,dos Santos Gato Alves Dias,Rúben Rúben,Man City,DEF,2026-08-27 15:23:14.301707+00:00,2,2,5.5
162,Andrey,Nascimento dos Santos,Andrey Andrey Santos,Man Utd,MID,2026-08-27 15:23:14.301707+00:00,2,2,5.0
369,Rio,Ngumoha,Rio Ngumoha,Liverpool,MID,2026-08-27 15:23:14.301707+00:00,2,2,6.0
124,Pascal,Groß,Pascal Groß,Brighton,MID,2026-08-27 15:23:14.301707+00:00,2,2,5.5
46,Ross,Barkley,Ross Barkley,Aston Villa,MID,2026-08-27 15:23:14.301707+00:00,2,2,5.0
129,Yasin,Ayari,Yasin Ayari,Brighton,MID,2026-08-27 15:23:14.301707+00:00,2,2,5.5
387,Nico,O'Reilly,Nico O'Reilly,Man City,DEF,2026-08-27 15:23:14.301707+00:00,2,2,6.5
379,Alexander,Isak,Alexander Isak,Liverpool,FWD,2026-08-27 15:23:14.301707+00:00,2,2,9.0
455,Sandro,Tonali,Sandro Tonali,Spurs,MID,2026-08-27 15:23:14.301707+00:00,2,2,5.5
254,Antonee,Robinson,Antonee Robinson,Fulham,DEF,2026-08-27 15:23:14.301707+00:00,1,1,4.5
432,Kobbie,Mainoo,Kobbie Mainoo,Man Utd,MID,2026-08-27 15:23:14.301707+00:00,1,1,5.5
248,Norberto Bercique,Gomes Betuncal,Norberto Bercique Beto,Everton,FWD,2026-08-27 15:23:14.301707+00:00,1,1,5.5
429,Marcus,Rashford,Marcus Rashford,Man Utd,MID,2026-08-27 15:23:14.301707+00:00,1,1,7.0
593,Amar,Dedic,Amar Dedić,Newcastle,DEF,2026-08-27 15:23:14.301707+00:00,1,1,4.5
389,Matheus,Nunes,Matheus Matheus N.,Man City,DEF,2026-08-27 15:23:14.301707+00:00,1,1,6.0
439,Benjamin,Sesko,Benjamin Šeško,Man Utd,FWD,2026-08-27 15:23:14.301707+00:00,1,1,7.0
112,Jan Paul,van Hecke,Jan Paul Van Hecke,Spurs,DEF,2026-08-27 15:23:14.301707+00:00,1,1,5.0
381,Lewis,Koumas,Lewis Koumas,Liverpool,MID,2026-08-27 15:23:14.301707+00:00,1,1,5.0
548,Chris,Rigg,Chris Rigg,Sunderland,MID,2026-08-27 15:23:14.301707+00:00,1,1,5.0
423,Luke,Shaw,Luke Shaw,Man Utd,DEF,2026-08-27 15:23:14.301707+00:00,1,1,4.5
422,Noussair,Mazraoui,Noussair Mazraoui,Man Utd,DEF,2026-08-27 15:23:14.301707+00:00,1,1,4.5
263,Kevin,Santos Lopes de Macedo,Kevin Kevin,Fulham,MID,2026-08-27 15:23:14.301707+00:00,1,1,5.5
474,Jair,Paula da Cunha Filho,Jair Jair Cunha,Nott'm Forest,DEF,2026-08-27 15:23:14.301707+00:00,1,1,4.5
435,Shea,Lacey,Shea Lacey,Man Utd,MID,2026-08-27 15:23:14.301707+00:00,1,1,5.0
506,Destiny,Udogie,Destiny Udogie,Spurs,DEF,2026-08-27 15:23:14.301707+00:00,1,1,4.5
446,Fabian,Schär,Fabian Schär,Newcastle,DEF,2026-08-27 15:23:14.301707+00:00,1,1,5.0
243,Carlos,Alcaraz Durán,Carlos Alcaraz,Everton,MID,2026-08-27 15:23:14.301707+00:00,1,1,5.0
336,Noah,Okafor,Noah Okafor,Leeds,MID,2026-08-27 15:23:14.301707+00:00,1,1,6.0
346,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,Leeds,FWD,2026-08-27 15:23:14.301707+00:00,1,1,6.0
239,James,Garner,James Garner,Everton,MID,2026-08-27 15:23:14.301707+00:00,1,1,6.0
549,Chemsdine,Talbi,Chemsdine Talbi,Sunderland,MID,2026-08-27 15:23:14.301707+00:00,1,1,5.5
372,Alexis,Mac Allister,Alexis Mac Allister,Liverpool,MID,2026-08-27 15:23:14.301707+00:00,1,1,5.5
462,Sean,Steur,Sean Steur,Newcastle,MID,2026-08-27 15:23:14.301707+00:00,1,1,5.0
553,Wilson,Isidor,Wilson Isidor,Sunderland,FWD,2026-08-27 15:23:14.301707+00:00,1,1,5.5
209,Brennan,Johnson,Brennan Johnson,Everton,MID,2026-08-27 15:23:14.301707+00:00,1,1,6.0
588,Anan,Khalaili,Anan Khalaili,Crystal Palace,DEF,2026-08-27 15:23:14.301707+00:00,1,1,5.0
559,Aladji,Bamba,Aladji Bamba,Newcastle,MID,2026-08-27 15:23:14.301707+00:00,1,1,5.0
577,Takehiro,Tomiyasu,Takehiro Tomiyasu,Crystal Palace,DEF,2026-08-27 15:23:14.301707+00:00,1,1,4.5
567,Lukás,Hornícek,Lukás Horníček,Newcastle,GKP,2026-08-27 15:23:14.301707+00:00,1,1,5.0
224,Eddie,Nketiah,Eddie Nketiah,Crystal Palace,FWD,2026-08-27 15:23:14.301707+00:00,1,1,5.5
478,Luca,Netz,Luca Netz,Nott'm Forest,DEF,2026-08-27 15:23:14.301707+00:00,1,1,4.5
